central_id,local_id
3-1,20211108_0853_MN37014_FAQ67267_d79f84d8_barcode01
3-1,
3-1,
3-1,
3-2,20211108_0853_MN37014_FAQ67267_d79f84d8_barcode02
3-2,
3-2,
3-2,
3-3,20211108_0853_MN37014_FAQ67267_d79f84d8_barcode03
3-3,
3-3,
3-3,
4,COV20-273082
4,
4,
4-1,20211108_0854_MN37014_FAQ67267_d79f84d8_barcode01
4-1,
4-1,
4-1,
4-2,20211108_0854_MN37014_FAQ67267_d79f84d8_barcode02
4-2,
4-2,
4-2,
4-3,20211108_0854_MN37014_FAQ67267_d79f84d8_barcode03
4-3,
4-3,
4-3,
5,COV21-387312
5,
5,
5-1,20211108_0851_MN37014_FAQ67267_d79f84d8_barcode01
5-1,
5-1,
5-1,
5-2,20211108_0851_MN37014_FAQ67267_d79f84d8_barcode02
5-2,
5-2,
5-2,
5-3,20211108_0851_MN37014_FAQ67267_d79f84d8_barcode03
5-3,
5-3,
5-3,
6,COV21-388539
6,
6,
6-1,20211108_0852_MN37014_FAQ67267_d79f84d8_barcode01
6-1,
6-1,
6-1,
6-2,20211108_0852_MN37014_FAQ67267_d79f84d8_barcode02
6-2,
6-2,
6-2,
6-3,20211108_0852_MN37014_FAQ67267_d79f84d8_barcode03
6-3,
6-3,
6-3,
7,COV21-390841
7,
7,
7,
7,
7-1,20211108_0855_MN37014_FAQ67267_d79f84d8_barcode01
7-1,
7-1,
7-1,
7-2,20211108_0855_MN37014_FAQ67267_d79f84d8_barcode02
7-2,
7-2,
7-2,
7-3,20211108_0855_MN37014_FAQ67267_d79f84d8_barcode03
7-3,
7-3,
7-3,
8,COV21-387781
8,
8,
8,
8,
9,COV21-387782
9,
9,
9,
9,
10,COV21-387793
10,
10,
10,
10,
11,COV21-387796
11,
11,
11,
11,
11-4,TEST-PGCMIN-001
11-4,
11-4,
11-4,
11-4,
11-5,TEST-PGCMIN-002
11-5,
11-5,
11-5,
11-5,
12,COV21-387097
12,
12,
12,
12,
12-1,3967
12-1,
12-1,
12-2,4031
12-2,
12-2,
12-3,4040
12-3,
12-3,
12-4,4067
12-4,
12-4,
12-5,4086
12-5,
12-5,
12-6,4104
12-6,
12-6,
12-7,4105
12-7,
12-7,
12-8,4161
12-8,
12-8,
12-9,4165
12-9,
12-9,
12-10,4216
12-10,
12-10,
12-11,4217
12-11,
12-11,
12-12,4233
12-12,
12-12,
12-13,4240
12-13,
12-14,4244
12-14,
12-15,4248
12-15,
12-16,4303
12-16,
12-17,4318
12-17,
12-17,
12-18,4321
12-18,
12-18,
12-19,4324
12-19,
12-19,
12-20,4335
12-20,
12-20,
12-21,4336
12-21,
12-21,
12-22,4345
12-22,
12-22,
12-23,4354
12-23,
12-23,
12-24,4980
12-24,
12-24,
12-25,4990
12-25,
12-25,
12-26,4994
12-26,
12-26,
12-27,4955
12-27,
12-27,
12-28,4956
12-28,
12-28,
12-29,4923
12-29,
12-29,
12-30,4755
12-30,
12-30,
12-31,4722
12-31,
12-31,
12-32,4759
12-32,
12-32,
12-33,4799
12-33,
12-33,
12-34,4814
12-34,
12-34,
12-35,4820
12-35,
12-35,
12-36,4996
12-36,
12-36,
12-37,4618
12-37,
12-37,
12-38,4696
12-38,
12-38,
12-39,4665
12-39,
12-39,
12-40,4664
12-40,
12-40,
12-41,4708
12-41,
12-41,
12-42,4712
12-42,
12-42,
12-43,4718
12-43,
12-43,
12-44,4707
12-44,
12-44,
12-45,4526
12-45,
12-45,
12-46,4527
12-46,
12-46,
12-47,4533
12-47,
12-47,
12-48,4541
12-48,
12-48,
12-49,4540
12-49,
12-49,
12-50,4635
12-50,
12-50,
13,COV21-388624
13,
13,
13-1,C21-18775
13-2,C21-18795
13-3,C21-18801
13-4,C21-18884
13-5,C21-18914
13-6,A21-25011
13-7,A21-25012
13-8,A21-25017
13-9,A21-25018
13-10,A21-25028
13-11,A21-25029
13-12,A21-25042
13-13,A21-25048
13-14,A21-25053
13-15,A21-25099
13-16,A21-25101
13-17,A21-25134
13-18,A21-25139
13-19,A21-25158
13-20,A21-25159
13-21,A21-25160
13-22,A21-25166
13-23,A21-25171
13-24,A21-25172
13-25,A21-25178
13-26,A21-25195
13-27,A21-25227
13-28,A21-25236
13-29,A21-25240
13-30,A21-25249
13-31,A21-25265
13-32,A21-25273
13-33,A21-25289
13-34,A21-25309
13-35,A21-25361
13-36,A21-25367
13-37,A21-25384
13-38,A21-25396
13-39,A21-25400
13-40,A21-25804
13-41,A21-25806
13-42,A21-25813
13-43,A21-25821
13-44,A21-25830
13-45,A21-25833
13-46,A21-25433
13-47,B21-2890
13-48,B21-2893
13-49,B21-2915
13-50,B21-2933
13-51,C18775
13-51,
13-51,
13-52,C18795
13-52,
13-52,
13-53,C18801
13-53,
13-53,
13-54,A25011
13-54,
13-54,
13-55,A25012
13-55,
13-55,
13-56,A25017
13-56,
13-56,
13-57,A25018
13-57,
13-57,
13-58,A25028
13-58,
13-58,
13-59,A25029
13-59,
13-59,
13-60,A25042
13-60,
13-60,
13-61,A25048
13-61,
13-61,
13-62,A25053
13-62,
13-62,
13-63,A25099
13-63,
13-63,
13-64,A25101
13-64,
13-64,
13-65,A25134
13-65,
13-65,
13-66,A25139
13-66,
13-66,
13-67,A25158
13-67,
13-67,
13-68,A25159
13-68,
13-68,
13-69,A25160
